Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5
2021-01-05,17.370001,GME,0.695657971014474,1,-0.994,-0.656,-0.917,-0.526,-0.536
2021-01-06,18.360001,GME,5.69948153716284,1,0.112,-0.086,-0.239,-0.496,-0.522
2021-01-07,18.08,GME,-1.52505982978978,-1,0.43,-0.996,-0.415,-0.683,-0.627
2021-01-08,17.690001,GME,-2.15707411504424,-1,0.112,-0.032,-0.228,-0.214,-0.998
2021-01-11,19.940001,GME,12.7190495919135,1,-0.999,0.729,0.004,-0.012,0.996
2021-01-12,19.950001,GME,0.0501504488390037,1,0.325,-1,-0.223,-0.152,-0.034
2021-01-13,31.4,GME,57.3934758198759,1,-0.995,0.854,0.903,-0.015,-1
2021-01-14,39.91,GME,27.1019108280255,1,-0.454,-0.139,-0.995,-0.392,-0.753
2021-01-15,35.5,GME,-11.0498621899273,-1,-0.598,0.663,0.238,-0.908,0.016
2021-01-19,39.360001,GME,10.8732422535211,1,-0.996,-0.97,0.908,-0.336,-1
2021-01-20,39.119999,GME,-0.609761163369882,-1,0.245,0.354,0.021,-0.726,-0.36
2021-01-21,43.029999,GME,9.99488778105539,1,-0.996,0.654,-0.412,-0.881,-0.487
2021-01-22,65.010002,GME,51.0806495719417,1,-0.999,-0.997,-0.995,0,-0.391
2021-01-25,76.790001,GME,18.1202870905926,1,0.452,0.091,-0.464,-1,-0.714
2021-01-26,147.979996,GME,92.7073760553799,1,-0.153,-0.405,-0.498,-0.489,-0.494
2021-01-27,347.51001,GME,134.835801725525,1,-0.992,-0.831,-0.989,-0.409,-0.353
2021-01-28,193.600006,GME,-44.2893728442528,-1,0.179,-0.875,-0.237,0.016,-0.586
2021-01-29,325,GME,67.8718956238049,1,0.99,-0.991,-0.996,0.835,-0.403
2021-02-01,225,GME,-30.7692307692308,-1,-0.545,-0.798,-0.999,-0.264,-0.641
2021-02-02,90,GME,-60,-1,-0.989,-0.282,-0.544,0.62,-0.688
2021-02-03,92.410004,GME,2.67778222222221,1,-0.203,0.998,-0.982,-0.144,-0.714
2021-02-04,53.5,GME,-42.1058352080582,-1,-1,-0.999,0.997,-0.339,-0.669
2021-02-05,63.77,GME,19.196261682243,1,-0.999,-0.999,-0.833,0.327,-0.508
2021-02-08,60,GME,-5.91187078563589,-1,0.999,-0.57,-0.547,-1,-0.302
2021-02-09,50.310001,GME,-16.1499983333333,-1,-1,-0.437,-0.946,0.645,0.997
2021-02-10,51.200001,GME,1.7690319664275,1,0.992,-0.47,-0.059,-0.214,-0.344
2021-02-11,51.099998,GME,-0.195318355560192,-1,0.71,-0.501,0.023,0.032,-0.835
2021-02-12,52.400002,GME,2.54403923851425,1,-0.695,-0.432,-0.552,-0.648,-0.431
2021-02-16,49.509998,GME,-5.51527459865364,-1,-0.452,0.057,-0.94,-0.286,-0.216
2021-02-17,45.939999,GME,-7.21066278370684,-1,-0.775,0.021,-0.953,-0.786,-0.167
2021-02-18,40.689999,GME,-11.4279497481051,-1,-0.004,-0.946,-0.003,-0.506,-0.407
2021-02-19,40.59,GME,-0.245758177580679,-1,-0.272,0.343,0,-0.428,-0.418
2021-02-22,46,GME,13.3284060113328,1,-0.718,-0.727,-0.345,-0.185,-0.77
2021-02-23,44.970001,GME,-2.23912826086956,-1,-0.351,0.855,-0.131,-0.661,0.981
2021-02-24,91.709999,GME,103.935950546232,1,0.996,-0.878,-0.418,-0.305,-1
2021-02-25,108.730003,GME,18.5585041822975,1,0.02,-0.928,-0.996,-0.919,-0.53
2021-02-26,101.739998,GME,-6.42877293031988,-1,0.976,0.983,-0.997,-0.511,-0.748
2021-03-01,120.400002,GME,18.3408731735969,1,-0.001,-0.946,0.084,-0.999,-0.431
2021-03-02,118.18,GME,-1.84385545109874,-1,0.825,-0.102,-0.497,-0.432,0.561
2021-03-03,124.18,GME,5.07700118463361,1,0.922,-0.937,-0.315,-0.305,-0.464
2021-03-04,132.350006,GME,6.57916411660493,1,-0.583,0.053,-0.261,-0.496,-0.765
2021-03-05,137.740005,GME,4.07253400502301,1,-0.583,-0.997,-0.295,0.94,0.993
2021-03-08,194.5,GME,41.2080680554644,1,-0.583,-0.874,0.188,0.607,-0.15
2021-03-09,246.899994,GME,26.9408709511568,1,-0.583,-0.994,-0.994,-1,-1
2021-03-10,265,GME,7.33090580796045,1,0.881,-0.655,-0.971,-0.802,-0.744
2021-03-11,260,GME,-1.88679245283019,-1,-1,-0.863,-0.999,-1,0.5
2021-03-12,264.5,GME,1.73076923076922,1,-1,0.053,0.959,0.24,0.031
2021-03-15,220.139999,GME,-16.7712669187146,-1,0.886,0.142,-1,0.658,-0.211
2021-03-16,208.169998,GME,-5.43744937511334,-1,0.98,0.98,0.031,-0.44,0.025
2021-03-17,209.809998,GME,0.787817656605827,1,0.915,-0.663,-0.999,0.999,-0.934
2021-03-18,201.75,GME,-3.84157002851695,-1,0.937,-0.5,-1,-0.415,-0.35
2021-03-19,200.270004,GME,-0.73357918215613,-1,0.998,-0.942,-0.5,-0.038,-0.409
2021-03-22,194.490005,GME,-2.88610320295395,-1,0.923,-0.414,-0.045,-0.162,-0.569
2021-03-23,181.75,GME,-6.55046772197883,-1,0.561,-0.223,-0.436,-0.024,-0.605
2021-03-24,120.339996,GME,-33.7881727647868,-1,0.944,-0.995,-0.49,-0.044,-0.524
2021-03-25,183.75,GME,52.6923766891267,1,-0.801,-0.996,0.578,-0.251,0.772
2021-03-26,181,GME,-1.49659863945578,-1,0.954,-0.998,-0.051,0.935,-0.699
2021-03-29,181.300003,GME,0.165747513812153,1,0.026,0.386,-0.377,-0.533,-1
2021-03-30,194.460007,GME,7.25868934486449,1,0.98,-1,-0.672,-0.699,-0.606
2021-03-31,189.820007,GME,-2.38609474080703,-1,0.935,0.046,-0.35,-0.882,0.07
2021-04-01,191.449997,GME,0.858702950105772,1,0.932,-0.999,-0.515,0.126,-0.047
2021-04-05,186.949997,GME,-2.35048319170253,-1,0.799,-0.341,-0.41,-0.302,-0.628
2021-04-06,184.5,GME,-1.31050924809589,-1,0.919,-0.181,-0.979,-0.39,-0.738
2021-04-07,177.970001,GME,-3.53929485094852,-1,0.96,0.344,-0.786,-0.455,0.348
2021-04-08,170.259995,GME,-4.33219416568975,-1,0.888,-0.136,-0.529,0.666,-0.086
2021-04-09,158.360001,GME,-6.98930714757744,-1,0.969,-1,-0.983,0.987,-0.284
2021-04-12,141.089996,GME,-10.9055347884217,-1,0.24,-1,-0.009,-1,-0.971
2021-04-13,140.990005,GME,-0.0708703684420109,-1,0.979,-0.67,-0.313,-1,0.993
2021-04-14,166.529999,GME,18.1147550140168,1,0.999,-0.54,-0.213,-0.247,-0.91
2021-04-15,156.440002,GME,-6.05896658895675,-1,0.998,-0.421,-0.345,-0.226,0.01
2021-04-16,154.690002,GME,-1.11863971978216,-1,0.996,0.382,-1,-0.17,0.004
2021-04-20,158.529999,GME,-3.55295746039292,-1,-1,-0.304,-0.35,-0.281,-0.595
2021-04-21,158.509995,GME,-0.0126184319221512,-1,0,-0.304,-0.315,-0.093,-0.608
2021-04-23,151.179993,GME,0.00661176168037514,1,-0.998,-0.44,0.072,-0.417,0.232
2021-04-26,168.929993,GME,11.7409715715492,1,-0.396,0.42,0.607,0.157,-0.522
2021-04-27,177.770004,GME,5.23294344776302,1,-0.999,-0.739,-0.006,-0.806,0.992
2021-04-28,178.580002,GME,0.455643799164229,1,0.039,0.208,-0.38,-0.082,-0.667
2021-04-29,176.190002,GME,-1.33833574489489,-1,0.49,-0.655,-0.999,-0.219,-0.759
2021-05-06,161.009995,GME,0.959367342848449,1,-0.726,-0.536,0.982,-0.428,-0.991
2021-01-05,131.009995,AAPL,1.23637350324171,1,-0.115,-0.352,0.268,0.9,-0.358
2021-01-06,126.599998,AAPL,-3.36615309389181,-1,-0.188,0.145,-0.717,0.998,-0.482
2021-01-07,130.919998,AAPL,3.41232232878865,1,-0.627,0.195,-0.523,-0.414,-0.953
2021-01-08,132.050003,AAPL,0.863126349879728,1,0.147,-0.046,-0.787,-0.981,-0.417
2021-01-11,128.979996,AAPL,-2.32488218875694,-1,-0.359,-0.172,-0.199,-0.408,-0.189
2021-01-12,128.800003,AAPL,-0.139551097520574,-1,-0.492,-0.254,-0.722,0.016,0.782
2021-01-13,130.889999,AAPL,1.62266766406829,1,-0.47,-0.012,0.988,-0.465,-0.152
2021-01-14,128.910004,AAPL,-1.51271679664388,-1,-0.305,-0.59,-0.047,-0.504,-0.07
2021-01-15,127.139999,AAPL,-1.37305480186005,-1,0.016,-0.442,0.001,-0.459,-0.234
2021-01-19,127.830002,AAPL,0.542711188789613,1,-0.262,0.141,0.972,0.099,-0.691
2021-01-20,132.029999,AAPL,3.28561130743001,1,-0.242,0.173,-0.292,-0.314,-0.849
2021-01-21,136.869995,AAPL,3.66583052083489,1,-0.056,0.3,-0.173,-0.387,-0.691
2021-01-22,139.070007,AAPL,1.60737347875259,1,-0.047,0.059,-0.495,-0.115,0.547
2021-01-25,142.919998,AAPL,2.76838340850878,1,-0.125,-0.134,-0.052,-0.062,-0.612
2021-01-26,143.160004,AAPL,0.167930313013298,1,-0.166,0.489,0.176,-0.998,-0.165
2021-01-27,142.059998,AAPL,-0.768375223012696,-1,0.181,-0.294,0.033,-0.623,0.003
2021-01-28,137.089996,AAPL,-3.49852320848265,-1,-0.394,-0.405,-0.302,-0.715,0.142
2021-01-29,131.960007,AAPL,-3.7420593403475,-1,0.065,-0.578,-0.657,-0.529,0.319
2021-02-01,134.139999,AAPL,1.65200961227594,1,-0.447,-0.487,0.031,-0.688,-0.427
2021-02-02,134.990005,AAPL,0.633670796434105,1,-0.003,-0.225,-0.438,-0.369,-0.981
2021-02-03,133.940002,AAPL,-0.777837588790375,-1,-0.009,-0.405,-0.162,-0.318,-0.312
2021-02-04,137.389999,AAPL,2.57577792181904,1,-0.512,0.057,-0.743,-0.053,-0.408
2021-02-05,136.759995,AAPL,-0.458551571865129,-1,0.13,-0.324,-0.252,-0.295,-0.23
2021-02-08,136.910004,AAPL,0.109687778213208,1,-0.561,-0.712,0.203,-0.454,-0.496
2021-02-12,135.369995,AAPL,0.177599342203805,1,-0.701,-0.295,0.331,0.432,-0.072
2021-02-18,129.710007,AAPL,-0.863641879047461,-1,-0.362,-0.086,-0.872,-0.42,-0.719
2021-02-23,125.860001,AAPL,-0.111110317460317,-1,-0.188,-0.172,-0.265,-0.489,0.091
2021-02-24,125.349998,AAPL,-0.405214520854802,-1,-0.305,-0.583,-0.457,0.14,0.212
2021-02-25,120.989998,AAPL,-3.478260925062,-1,0.596,-0.106,-0.655,-0.414,-0.958
2021-02-26,121.260002,AAPL,0.223162248502562,1,-0.644,-0.32,-0.125,-0.035,-0.49
2021-03-03,122.059998,AAPL,-2.44565611143728,-1,-0.284,-0.242,-0.107,-0.555,-0.475
2021-03-04,120.129997,AAPL,-1.58119042407324,-1,0.015,0.226,-0.986,-0.603,-0.19
2021-03-05,121.419998,AAPL,1.07383753618175,1,-0.41,-0.108,-0.19,-0.816,-0.005
2021-03-08,116.360001,AAPL,-4.16735058750373,-1,-0.737,0.029,-0.161,0.253,0.189
2021-03-09,121.089996,AAPL,4.0649664483932,1,-0.322,-0.477,-0.716,0.016,1
2021-03-10,119.980003,AAPL,-0.916667798056581,-1,-0.349,-0.196,-0.239,0.992,-0.007
2021-03-12,121.029999,AAPL,-0.762545103005452,-1,-0.987,-0.475,0.103,-0.096,-0.384
2021-03-24,120.089996,AAPL,-1.99935121593479,-1,0.082,0.172,0.302,-0.297,-0.217
2021-04-01,123,AAPL,0.695864090120923,1,-0.047,-0.365,0.563,-0.427,-0.103
2021-04-14,132.029999,AAPL,-1.78531140740296,-1,0.192,0.495,0.004,-0.968,0.001
2021-04-29,133.479996,AAPL,-0.074865996782969,-1,-0.332,-0.665,0.114,-0.133,0.067
2021-01-11,2.2,AMC,2.80373831775702,1,-0.415,-0.5,-0.647,0.985,-0.494
2021-01-15,2.33,AMC,6.88073394495412,1,-0.665,-0.004,-1,-0.996,-0.991
2021-01-19,3.06,AMC,31.3304721030043,1,0.663,0.894,0.282,-0.02,-0.999
2021-01-20,2.97,AMC,-2.94117647058824,-1,-0.039,0.011,-0.052,0.048,0.023
2021-01-21,2.98,AMC,0.336700336700324,1,-0.769,0.677,-0.186,-1,0.842
2021-01-22,3.51,AMC,17.7852348993289,1,-0.977,-0.899,-0.347,-0.999,0.234
2021-01-25,4.42,AMC,25.9259259259259,1,-0.506,-0.722,-0.882,-0.999,-0.941
2021-01-26,4.96,AMC,12.2171945701357,1,-0.626,-0.479,-0.998,0.988,0.228
2021-01-27,19.9,AMC,301.209677419355,1,-0.987,0.312,-0.999,-0.17,-0.978
2021-01-28,8.63,AMC,-56.6331658291457,-1,-0.729,-0.875,-0.415,-0.07,-0.442
2021-01-29,13.26,AMC,53.6500579374276,1,-0.606,0.246,-0.215,-0.36,-0.933
2021-02-01,13.3,AMC,0.301659125188536,1,-0.264,0.999,-0.247,-0.206,-0.592
2021-02-02,7.82,AMC,-41.203007518797,-1,-0.282,0.001,-0.394,0.87,-0.659
2021-02-03,8.97,AMC,14.7058823529412,1,-0.714,-0.041,0.155,-0.475,-0.618
2021-02-04,7.09,AMC,-20.958751393534,-1,0.997,-0.797,-0.001,0.101,0.803
2021-02-05,6.83,AMC,-3.66713681241184,-1,0.529,-0.969,-0.556,-0.551,-0.97
2021-02-08,6.18,AMC,-9.51683748169839,-1,-0.302,-0.344,0.043,0.148,-0.446
2021-02-09,5.5,AMC,-11.0032362459547,-1,-0.276,-0.472,-0.969,-0.296,-0.519
2021-02-10,5.8,AMC,5.45454545454545,1,-0.344,-0.742,-0.832,-0.551,-0.614
2021-02-11,5.61,AMC,-3.27586206896551,-1,0.032,0,-0.986,-0.782,-0.56
2021-02-12,5.59,AMC,-0.356506238859189,-1,-0.695,-0.655,0.353,-0.479,-0.442
2021-02-16,5.65,AMC,1.07334525939178,1,-0.409,0.995,-0.577,-0.992,-0.139
2021-02-17,5.55,AMC,-1.76991150442479,-1,-0.775,0.033,-0.685,-0.726,-0.458
2021-02-18,5.51,AMC,-0.720720720720724,-1,-0.407,-0.272,-0.512,-1,-0.508
2021-02-19,5.7,AMC,3.44827586206897,1,0.343,-0.907,-0.998,-0.686,-0.6
2021-02-23,7.7,AMC,17.5572519083969,1,0.983,0.027,0.943,-0.987,-1
2021-02-24,9.09,AMC,18.0519480519481,1,-0.186,0.498,0.997,-0.991,-0.022
2021-02-25,8.29,AMC,-8.80088008800881,-1,0.002,-0.988,-0.013,-0.717,-1
2021-02-26,8.01,AMC,-3.37756332931242,-1,0.799,0.599,-0.502,-0.081,-0.672
2021-03-01,9.18,AMC,14.6067415730337,1,-0.794,-0.061,-0.342,0.999,-0.165
2021-03-02,8.93,AMC,-2.72331154684096,-1,-1,-0.525,-0.386,-0.011,-0.331
2021-03-03,8.58,AMC,-3.91937290033594,-1,-0.097,-0.293,-0.284,-0.72,-0.877
2021-03-04,8.03,AMC,-6.41025641025642,-1,0.977,-0.074,-0.87,-0.066,-0.205
2021-03-05,8.05,AMC,0.249066002490683,1,0.94,-0.833,-0.001,-0.41,0.096
2021-03-09,10.5,AMC,13.0247578040904,1,-0.332,-0.272,0.344,-0.638,-0.108
2021-03-10,9.85,AMC,-6.19047619047619,-1,-0.824,0.008,0.977,-0.871,-0.999
2021-03-11,10.28,AMC,4.36548223350253,1,0.745,-0.57,-0.203,-0.123,-0.19
2021-03-12,11.16,AMC,8.56031128404671,1,-0.148,-1,-0.207,-0.213,0.293
2021-03-15,14.04,AMC,25.8064516129032,1,-0.893,-0.623,-0.188,-0.042,-0.277
2021-03-16,13.02,AMC,-7.26495726495726,-1,0.783,-0.975,-0.61,0.995,0.061
2021-03-17,13.56,AMC,4.14746543778803,1,-0.006,-0.911,-0.492,-0.876,-0.19
2021-03-18,14,AMC,3.24483775811208,1,-0.812,-0.27,-0.123,0.646,-0.216
2021-03-19,13.93,AMC,-0.5,-1,0.064,-0.989,0,0.966,0.264
2021-03-22,12.49,AMC,-10.3374012921752,-1,-0.414,-0.469,-0.328,-0.458,-0.732
2021-03-23,10.66,AMC,-14.6517213771017,-1,-0.605,-0.63,-0.748,-0.005,-0.877
2021-03-24,9.02,AMC,-15.3846153846154,-1,0.082,-0.208,0.791,-0.01,-0.026
2021-03-25,10.94,AMC,21.2860310421286,1,-0.994,0.081,0.986,0.132,-0.604
2021-03-26,10.24,AMC,-6.39853747714807,-1,-0.55,0.575,-0.232,-0.687,-0.139
2021-03-29,10.35,AMC,1.07421875,1,-0.01,-0.556,-0.5,-0.189,0.504
2021-04-13,8.84,AMC,2.55220417633411,1,0.498,0.4,-0.974,-0.19,-0.067
2021-04-28,10.85,AMC,-5.32286212914486,-1,-0.499,0.208,-0.808,-0.271,-0.667
2021-01-05,6.77,BB,2.88753799392096,1,-0.115,-0.981,-0.019,0.9,-0.443
2021-01-06,6.71,BB,-0.886262924667647,-1,-0.522,-0.475,-0.439,-0.372,-0.634
2021-01-07,7.06,BB,5.21609538002981,1,-0.187,-0.5,-0.4,-0.309,0.72
2021-01-08,7.56,BB,7.08215297450425,1,-0.491,-0.999,0.043,-0.403,-0.105
2021-01-11,7.65,BB,1.19047619047621,1,0.238,-0.264,-0.541,-0.242,-0.152
2021-01-12,7.63,BB,-0.261437908496742,-1,0.325,0.048,-0.181,0.803,-0.417
2021-01-13,7.44,BB,-2.49017038007863,-1,-0.474,0.032,-0.465,-0.623,-0.334
2021-01-14,9.11,BB,22.4462365591398,1,-0.015,0.115,-0.392,-0.454,-0.618
2021-01-15,9.84,BB,8.01317233809002,1,-0.598,-0.983,0.016,0.053,-0.096
2021-01-19,12.35,BB,25.5081300813008,1,-0.056,-0.262,-0.402,0.997,-0.677
2021-01-20,12.79,BB,3.56275303643725,1,0.021,-0.726,-0.242,-0.845,-0.043
2021-01-21,12.85,BB,0.469116497263489,1,0.139,0.994,-1,0.12,-0.655
2021-01-22,14.04,BB,9.26070038910505,1,-0.391,0.027,-0.061,-0.919,-0.325
2021-01-25,18.030001,BB,28.4188105413105,1,0.091,-0.714,-0.722,0.56,0.996
2021-01-26,18.92,BB,4.93621159532938,1,-0.405,-0.494,-0.999,0.882,-0.359
2021-01-27,25.1,BB,32.6638477801269,1,-0.999,-0.17,-0.924,-0.544,-0.22
2021-01-28,14.65,BB,-41.6334661354582,-1,-0.599,-0.288,-0.394,-0.152,-0.394
2021-01-29,14.1,BB,-3.7542662116041,-1,-0.403,-0.328,-0.421,0.246,0.034
